STEM,SCI_MATH,ENG,ICT,GDPPC,GINI,HDI,IHDI,GDI,FHDI,GII,stemt,GSNI1,GSNI2,GSNI0,GSNI_pol,GSNI_eco,GSNI_edu,GSNI_phi,SCI_BENEFITS-Enthusiast,SCI_BENEFITS-Excluded,SCI_BENEFITS-Included,SCI_BENEFITS-Sceptic,SCI_JOBS-Decrease,SCI_JOBS-Increase,SCI_JOBS-Neither,SCI_TRUST-High,SCI_TRUST-Low,SCI_TRUST-Medium,unemployment,Christians,Muslims,Unaffiliated
58.1698,83.0561,48.46417,48.93372,3973.96407191565,27.6,0.748,0.596,0.8583254728464075,0.6711642685049611,0.429,34.23498,97.83,87.0,2.17,80.08,74.08,37.17,86.75,10.185744704373958,20.871809631717667,33.20655313611325,11.004831270300343,26.993774426558137,46.62789018469773,11.593773323601956,4.707915141220036,27.8274642148551,49.12367028845918,10.98727278275924,0.0,97.9,1.8
39.81053,60.52481,22.39763,38.47167,4622.73349328671,34.4,0.776,0.699,0.9820915997742172,0.7661304804028459,0.245,17.14432,94.11,81.28,5.89,72.82,75.91,24.89,66.14,19.62735629959511,18.80345845881409,20.882216388152127,21.43136654078512,22.480974016994324,58.19363978016666,6.540662154859541,5.908434024975762,24.63287316735887,53.77439160852302,18.182727120139383,98.5,0.0,1.3
32.07578,51.28372,23.23094,21.75496,55060.3261005013,34.4,0.944,0.867,0.9762035605125556,0.931810956161772,0.097,17.39795,46.24,23.0,53.76,32.48,18.06,4.09,20.93,49.99210908721721,7.407475006747263,34.578379752752326,5.7853349435450525,37.67096799174448,46.13244837207655,5.446142283250313,33.45230193002987,7.501134202150989,58.17061563545882,5.606363643299448,67.3,2.4,24.2
35.09903,65.33787,26.56063,45.96774,4793.58701966989,26.6,0.756,0.684,0.9427321413710316,0.7296549712857238,0.323,25.90974,99.14,93.82,0.86,85.13,91.97,30.9,72.16,28.123759863903903,16.402847641887693,26.96625072010782,7.82814956616064,26.3593537007175,37.28441609967858,20.83472616612964,18.46212827661087,10.891033103819105,61.26760202610999,5.190000013871626,3.0,96.9,0.0
27.41609,62.03966,23.20685,23.03968,6663.29529282582,25.2,0.823,0.771,1.0066083723479982,0.8239285471938109,0.118,33.23204,90.37,71.7,9.63,77.82,58.45,21.19,55.52,47.23877955166056,8.735243123429228,21.820341872868678,4.705145493491173,35.8508709417391,19.111958542209155,27.17080682487395,6.72231731956801,13.48833774268996,70.65553850227585,5.6745455048301,71.2,0.0,28.6
36.64406,59.49238,36.66328,14.55104,8717.18627810819,53.9,0.765,0.57,0.9934769514540002,0.7599627389402953,0.408,18.36665,89.5,52.39,10.5,43.41,36.63,9.32,77.95,21.22702612085281,14.374937109811883,34.285942599201924,22.52928052211285,42.20794727948675,42.43832431671663,5.448046168519166,13.189671977400142,29.646515074092537,52.6587285609751,9.660000064156272,88.9,0.0,7.9
36.87189,68.08285,28.67224,38.74001,9828.14851478139,40.4,0.816,0.721,0.9946854591719436,0.8130032114518209,0.206,19.2768,76.84,44.4,23.16,53.67,37.13,10.95,39.42,27.60142935802924,8.807654170131238,27.569908986698252,7.003397640210526,31.600184920287138,21.560851446770855,25.39387402038093,11.221644297930697,19.700693705558745,55.00770681712105,8.74545457146384,82.1,13.7,4.2
20.5868,18.74126,21.57895,28.57143,786.895631290168,35.3,0.452,0.316,0.866707792642374,0.4178946598641783,0.594,20.2646,98.38,85.86,1.62,66.42,77.27,33.2,88.81,28.31197171738079,16.580845341150372,23.047119314038397,7.95548675146571,14.38294133946611,59.3520071318568,3.31405170014754,12.963429617909494,23.4346454332964,34.25587341107326,5.361818140203303,22.5,61.6,0.0
31.4295,53.76368,19.66861,29.96837,46194.7252255167,33.3,0.929,0.848,0.9855929026542676,0.9215525045584152,0.08,22.37562,51.53,23.26,48.47,25.4,21.39,4.91,30.5,44.83154504330876,7.491945305428032,39.43526174745004,4.650535598753828,33.11323644771054,53.04546516753344,5.68496723933385,28.17940881035024,7.128358071336911,58.60886100466804,7.096363631161778,69.0,2.1,23.7
18.82858,46.45613,17.74013,12.74434,14896.4538665789,44.4,0.851,0.709,0.9627589312244506,0.8325276348416307,0.247,20.94617,74.4,42.2,25.6,42.1,28.4,20.1,52.6,17.35048395172453,21.203437792660925,30.4573790368694,23.547710123015523,40.2470652873488,44.349924901197454,7.440926058983613,15.178207786241064,25.026649906697184,54.67719440095471,7.412727312608196,89.4,0.0,8.6
33.40987,54.16604,34.59502,23.30682,6428.67620562768,50.4,0.767,0.595,0.989466029986866,0.7614492267884626,0.428,23.12693,91.4,57.21,8.6,49.34,33.73,10.78,82.28,20.18892361972979,13.879791652871535,33.50989574959961,22.397166546366616,42.22622486270776,46.93308171204272,1.400477221795483,10.361587519203615,32.29695421753847,51.55945632062602,9.892727071588682,92.5,0.0,6.6
38.26274,69.49153,32.85398,28.4585,27858.3709958327,31.4,0.887,0.805,0.9790503054886732,0.8764220739241164,0.086,15.1492,81.05,49.44,18.95,48.14,43.85,14.03,53.31,33.67870565601617,12.539991912325563,28.854801677774105,12.87618360115625,37.48613469354132,46.45956801044702,4.807761788355985,18.78996995510568,13.469586131138406,50.925935541114775,10.858181866732515,73.2,25.3,1.2
29.22662,47.86036,20.66284,36.81658,6183.82382482173,45.4,0.759,0.616,0.967367575789958,0.7429286659734187,0.384,15.83638,93.34,58.9,6.66,46.34,36.44,23.46,84.36,14.131968670810688,13.737062500095613,32.43424325487107,31.851236883446,41.67764144901001,44.90056360970282,3.427408225638537,7.627070540951737,35.35081876861545,52.79131362570124,3.907272707332264,94.1,0.0,5.5
38.37799,63.85737,32.12291,28.89201,23723.306112848,30.4,0.892,0.829,1.016865658667438,0.8963960057980453,0.086,27.73244,76.34,51.19,23.66,57.05,45.29,15.79,36.24,45.50650154212541,6.79338540614817,19.47258711077465,4.782620344533015,38.4238245978431,22.02460708991849,24.23035979430336,20.07025200705411,5.545581403778815,60.29612390198077,8.184545430270118,39.9,0.0,59.6
27.40048,53.83185,22.16466,20.74618,48782.7884755091,27.4,0.938,0.888,0.9899190976379478,0.9324888493432364,0.047,28.12024,51.16,22.67,48.84,24.58,23.08,6.22,29.69,60.74524915695392,9.679184376113822,21.71800545400317,5.566134236994391,42.13298142919537,47.19843382929413,6.540743344783126,35.069424524948694,7.0775236285469045,57.474377448313874,8.130909096110951,80.1,0.0,19.1
31.80564,49.0219,26.10633,16.45824,40493.9285720456,31.6,0.901,0.82,0.987152994137522,0.8949895448103902,0.049,25.39433,56.0,26.81,44.0,35.25,25.55,6.71,22.41,40.64920046224776,17.119695189560815,30.16334458286397,7.91482126278161,54.55637723200567,29.014239136253543,11.827878937076331,20.90017972504953,9.185493133205954,69.22081606033441,9.379090916026714,63.0,7.5,28.0
38.67785,68.12671,15.73412,20.57541,4697.7045759469,36.4,0.812,0.716,0.9795443902116028,0.8000559453284734,0.331,24.55977,94.09,77.12,5.91,65.89,66.97,18.14,74.63,16.600152922898616,19.858412453727777,19.61620906788568,20.88079622770305,39.26313389039456,29.53402329586728,12.135963269556582,5.457899944802995,21.216906196744965,62.1657110136453,16.334545482288696,88.5,10.7,0.0
27.55567,46.76303,21.11782,19.40818,46445.2491012508,31.9,0.947,0.869,0.9718804772078216,0.9327163495784004,0.084,35.30881,62.6,33.07,37.4,26.59,30.91,15.78,44.68,41.5620164901442,5.263988402249755,37.90661842409534,5.494012521051313,37.26049104261293,40.55597961431863,17.41932016737563,24.677363432023995,11.881205778708722,61.89706451828496,4.700000004334884,68.7,5.8,24.7
19.76201,26.75966,16.41093,19.86793,2202.11556738065,43.5,0.611,0.44,0.9109915648306124,0.5817628176089469,0.538,16.41172,99.16,92.69,0.84,86.84,78.01,30.02,90.73,37.835364224099735,10.271444077575806,36.669171552525455,7.059077582404284,13.925855510948324,67.59646348038397,8.372436384625042,20.502823883639454,12.2953745605515,53.87479555394562,5.358181780034846,74.9,15.8,4.2
